plant_type,location,sunlight,soil_type,soil_moisture,nitrogen,phosphorus,potassium,soil_ph,recommended_fertilizer
Vegetable Plant,Outdoor Garden,Medium,Sandy,High,30,57,23,6.6,Nitrogen Rich
Vegetable Plant,Indoor,Low,Potting Mix,Low,71,52,39,6.3,Balanced NPK
Herb,Balcony,Low,Loamy,Low,40,75,37,7.0,Nitrogen Rich
Vegetable Plant,Indoor,Medium,Potting Mix,High,68,44,55,5.4,Vermicompost
Indoor Plant,Rooftop,Low,Clay,High,47,73,36,6.5,Liquid Fertilizer
Vegetable Plant,Rooftop,Medium,Clay,High,70,31,21,7.4,Phosphorus Rich
Leafy Ornamental,Balcony,Medium,Sandy,Low,26,62,65,6.5,Nitrogen Rich
Flower Plant,Indoor,High,Loamy,Medium,35,20,74,6.7,Phosphorus Rich
Flower Plant,Balcony,Low,Clay,High,57,70,38,6.3,Bone Meal
Succulent,Rooftop,High,Sandy,High,53,37,57,7.0,Compost
Succulent,Indoor,Medium,Potting Mix,Medium,75,69,21,5.9,Balanced NPK
Indoor Plant,Indoor,Low,Loamy,Low,30,72,76,5.9,Nitrogen Rich
Flower Plant,Balcony,Low,Loamy,Low,75,21,27,6.8,Phosphorus Rich
Indoor Plant,Balcony,High,Potting Mix,Low,72,80,35,6.2,Liquid Fertilizer
Indoor Plant,Outdoor Garden,Low,Sandy,Low,30,23,64,5.5,Nitrogen Rich
Succulent,Outdoor Garden,High,Sandy,Low,25,71,37,5.1,Nitrogen Rich
Indoor Plant,Rooftop,Medium,Potting Mix,Low,35,26,68,6.7,Phosphorus Rich
Leafy Ornamental,Indoor,High,Potting Mix,High,55,46,22,7.0,Balanced NPK
Indoor Plant,Outdoor Garden,Low,Clay,High,65,59,68,7.5,Liquid Fertilizer
Leafy Ornamental,Balcony,Low,Clay,High,49,72,53,5.8,Nitrogen Rich
Vegetable Plant,Indoor,High,Sandy,Low,33,48,41,5.6,Nitrogen Rich
Succulent,Rooftop,High,Sandy,Low,50,79,30,6.4,Balanced NPK
Leafy Ornamental,Outdoor Garden,High,Sandy,Medium,28,69,49,6.5,Nitrogen Rich
Indoor Plant,Rooftop,Medium,Sandy,Medium,26,47,21,6.4,Nitrogen Rich
Succulent,Indoor,High,Potting Mix,Low,28,77,32,6.7,Nitrogen Rich
Succulent,Outdoor Garden,Medium,Potting Mix,Medium,69,27,54,5.5,Phosphorus Rich
Vegetable Plant,Rooftop,Low,Potting Mix,Medium,55,75,26,7.2,Balanced NPK
Indoor Plant,Rooftop,Medium,Sandy,High,66,65,55,5.9,Liquid Fertilizer
Vegetable Plant,Outdoor Garden,High,Sandy,Low,30,61,36,6.7,Nitrogen Rich
Vegetable Plant,Rooftop,Low,Loamy,Medium,31,30,72,5.3,Nitrogen Rich
Succulent,Indoor,Medium,Potting Mix,High,42,74,49,5.6,Compost
Leafy Ornamental,Outdoor Garden,Low,Potting Mix,Medium,63,63,42,5.2,Nitrogen Rich
Succulent,Indoor,Low,Clay,High,67,80,76,7.4,Compost
Indoor Plant,Balcony,Low,Sandy,Medium,77,39,72,5.4,Liquid Fertilizer
Indoor Plant,Indoor,Medium,Sandy,Low,32,43,22,7.4,Nitrogen Rich
Leafy Ornamental,Balcony,Low,Clay,Low,64,67,64,5.3,Nitrogen Rich
Succulent,Rooftop,High,Loamy,Medium,54,74,38,6.3,Compost
Flower Plant,Indoor,Low,Clay,Low,67,47,58,7.0,Bone Meal
Indoor Plant,Indoor,Medium,Loamy,Low,29,26,43,7.3,Nitrogen Rich
Herb,Outdoor Garden,High,Clay,High,55,44,64,5.7,Nitrogen Rich
Leafy Ornamental,Rooftop,Low,Clay,Low,39,55,25,5.2,Balanced NPK
Vegetable Plant,Indoor,Low,Clay,Medium,46,36,69,7.5,Balanced NPK
Herb,Outdoor Garden,Low,Clay,Medium,35,55,41,5.8,Nitrogen Rich
Indoor Plant,Rooftop,High,Sandy,Medium,78,51,41,7.0,Liquid Fertilizer
Flower Plant,Rooftop,High,Clay,High,51,52,26,5.9,Balanced NPK
Vegetable Plant,Rooftop,Medium,Sandy,High,71,58,49,5.4,Vermicompost
Leafy Ornamental,Outdoor Garden,Low,Loamy,Medium,70,38,47,6.9,Nitrogen Rich
Vegetable Plant,Balcony,Medium,Potting Mix,Medium,29,22,42,5.2,Nitrogen Rich
Indoor Plant,Indoor,Medium,Loamy,Low,72,52,49,5.3,Liquid Fertilizer
Herb,Balcony,High,Potting Mix,High,61,68,34,6.2,Balanced NPK
Leafy Ornamental,Indoor,Low,Sandy,Medium,40,39,34,6.3,Balanced NPK
Flower Plant,Outdoor Garden,Medium,Sandy,Medium,52,74,40,6.8,Bone Meal
Leafy Ornamental,Rooftop,Medium,Sandy,Low,56,31,41,5.6,Phosphorus Rich
Herb,Outdoor Garden,Low,Potting Mix,Low,55,53,73,5.8,Nitrogen Rich
Indoor Plant,Outdoor Garden,Medium,Potting Mix,Medium,28,20,48,6.6,Nitrogen Rich
Herb,Rooftop,Low,Potting Mix,Low,75,73,65,5.5,Nitrogen Rich
Vegetable Plant,Rooftop,High,Potting Mix,Medium,46,64,28,5.9,Balanced NPK
Flower Plant,Rooftop,High,Potting Mix,High,52,73,50,6.5,Bone Meal
Herb,Indoor,Medium,Potting Mix,High,63,34,31,5.1,Phosphorus Rich
Vegetable Plant,Balcony,Low,Clay,Low,42,70,21,6.7,Balanced NPK
Succulent,Rooftop,Medium,Loamy,High,46,67,25,7.4,Balanced NPK
Vegetable Plant,Outdoor Garden,Medium,Clay,Low,40,32,63,6.6,Phosphorus Rich
Vegetable Plant,Outdoor Garden,Medium,Sandy,High,50,52,58,7.2,Balanced NPK
Herb,Balcony,Medium,Clay,Low,47,74,24,6.5,Balanced NPK
Indoor Plant,Rooftop,High,Clay,Low,74,31,50,5.5,Phosphorus Rich
Herb,Rooftop,Medium,Loamy,Low,23,65,31,5.4,Nitrogen Rich
Leafy Ornamental,Rooftop,Medium,Sandy,Low,68,24,73,6.2,Phosphorus Rich
Vegetable Plant,Outdoor Garden,Medium,Sandy,Medium,26,47,30,5.1,Nitrogen Rich
Vegetable Plant,Rooftop,High,Clay,Low,38,37,73,6.4,Balanced NPK
Succulent,Rooftop,Low,Clay,Low,80,26,73,6.1,Phosphorus Rich
Succulent,Indoor,Low,Loamy,Low,21,77,31,6.9,Nitrogen Rich
Succulent,Indoor,Low,Clay,Low,63,45,37,6.2,Compost
Indoor Plant,Indoor,Medium,Sandy,Low,48,49,76,7.2,Liquid Fertilizer
Indoor Plant,Rooftop,Low,Potting Mix,Low,48,76,69,5.1,Liquid Fertilizer
Vegetable Plant,Indoor,Low,Clay,High,32,33,31,6.0,Nitrogen Rich
Herb,Rooftop,Medium,Clay,Medium,56,34,74,5.3,Phosphorus Rich
Herb,Rooftop,High,Clay,Medium,47,35,78,6.4,Nitrogen Rich
Succulent,Rooftop,High,Sandy,High,45,68,79,5.8,Compost
Indoor Plant,Rooftop,Medium,Clay,Low,64,58,34,6.8,Balanced NPK
Flower Plant,Rooftop,Medium,Loamy,Medium,31,54,75,5.2,Nitrogen Rich
Succulent,Indoor,Medium,Loamy,Medium,61,23,39,7.4,Phosphorus Rich
Succulent,Outdoor Garden,Low,Loamy,Medium,65,46,48,6.0,Compost
Vegetable Plant,Rooftop,Medium,Loamy,High,61,39,42,7.4,Balanced NPK
Succulent,Outdoor Garden,Medium,Clay,Low,48,66,20,6.3,Balanced NPK
Succulent,Outdoor Garden,Medium,Sandy,Medium,67,51,43,6.9,Compost
Indoor Plant,Rooftop,Low,Sandy,High,65,79,26,6.4,Balanced NPK
Flower Plant,Indoor,Low,Loamy,Low,77,43,69,7.1,Bone Meal
Vegetable Plant,Rooftop,High,Sandy,Medium,36,54,56,7.3,Balanced NPK
Succulent,Rooftop,Low,Loamy,Medium,32,35,33,5.4,Nitrogen Rich
Flower Plant,Rooftop,Medium,Sandy,Low,29,71,43,7.3,Nitrogen Rich
Vegetable Plant,Balcony,Low,Sandy,High,76,66,34,7.5,Balanced NPK
Vegetable Plant,Balcony,High,Sandy,Low,74,45,57,6.3,Balanced NPK
Succulent,Balcony,High,Loamy,High,32,68,69,5.6,Nitrogen Rich
Flower Plant,Balcony,Low,Potting Mix,Low,57,47,28,5.0,Balanced NPK
Succulent,Indoor,Medium,Loamy,Low,28,73,70,5.7,Nitrogen Rich
Vegetable Plant,Indoor,Low,Sandy,Medium,69,41,68,6.5,Balanced NPK
Vegetable Plant,Rooftop,Low,Sandy,Low,35,51,45,5.5,Balanced NPK
Herb,Outdoor Garden,Medium,Clay,Medium,30,24,78,5.0,Nitrogen Rich
Flower Plant,Balcony,High,Sandy,High,33,77,48,5.9,Nitrogen Rich
Indoor Plant,Rooftop,Low,Potting Mix,Medium,24,64,34,5.2,Nitrogen Rich
Vegetable Plant,Rooftop,High,Potting Mix,Low,80,47,74,7.4,Balanced NPK
Herb,Balcony,Low,Potting Mix,Medium,44,26,77,7.3,Phosphorus Rich
Leafy Ornamental,Indoor,High,Potting Mix,Low,48,71,69,5.6,Nitrogen Rich
Indoor Plant,Rooftop,High,Clay,Medium,75,28,37,5.2,Phosphorus Rich
Flower Plant,Indoor,Low,Clay,High,34,75,41,5.9,Nitrogen Rich
Vegetable Plant,Indoor,Medium,Loamy,High,69,28,26,6.5,Phosphorus Rich
Indoor Plant,Balcony,Low,Sandy,High,74,48,51,7.3,Liquid Fertilizer
Herb,Rooftop,Medium,Potting Mix,High,28,43,64,6.9,Nitrogen Rich
Flower Plant,Rooftop,Low,Loamy,High,72,36,60,7.0,Bone Meal
Vegetable Plant,Indoor,High,Loamy,High,79,20,39,6.9,Phosphorus Rich
Herb,Outdoor Garden,Low,Potting Mix,Medium,60,44,73,6.4,Nitrogen Rich
Flower Plant,Rooftop,Low,Potting Mix,Medium,26,42,75,6.5,Nitrogen Rich
Indoor Plant,Rooftop,Medium,Potting Mix,High,54,62,38,7.4,Liquid Fertilizer
Vegetable Plant,Indoor,High,Clay,High,52,70,70,5.9,Balanced NPK
Succulent,Rooftop,High,Loamy,Medium,64,47,65,7.0,Compost
Flower Plant,Outdoor Garden,Low,Sandy,High,52,37,45,6.2,Bone Meal
Leafy Ornamental,Rooftop,Medium,Clay,Low,75,69,60,7.2,Nitrogen Rich
Leafy Ornamental,Balcony,Low,Potting Mix,Low,55,30,31,5.5,Phosphorus Rich
Vegetable Plant,Indoor,Low,Loamy,Medium,66,70,62,7.3,Balanced NPK
Herb,Rooftop,Medium,Potting Mix,Low,55,46,32,6.5,Balanced NPK
Vegetable Plant,Rooftop,High,Sandy,Low,74,80,30,7.0,Balanced NPK
Flower Plant,Balcony,Low,Clay,High,56,31,58,5.0,Phosphorus Rich
Indoor Plant,Outdoor Garden,Medium,Loamy,High,48,22,28,6.0,Phosphorus Rich
Indoor Plant,Balcony,Medium,Sandy,High,43,47,32,5.5,Balanced NPK
Herb,Balcony,High,Sandy,Low,65,34,59,5.2,Phosphorus Rich
Leafy Ornamental,Indoor,High,Loamy,Low,43,68,32,6.3,Balanced NPK
Flower Plant,Rooftop,Low,Clay,Medium,25,25,80,6.5,Nitrogen Rich
Herb,Indoor,High,Sandy,Medium,21,79,53,5.4,Nitrogen Rich
Herb,Indoor,Medium,Potting Mix,Medium,45,27,79,6.7,Phosphorus Rich
Herb,Indoor,Medium,Potting Mix,Low,45,38,33,6.8,Balanced NPK
Leafy Ornamental,Balcony,Low,Sandy,High,40,34,49,5.4,Phosphorus Rich
Vegetable Plant,Outdoor Garden,Low,Potting Mix,Medium,62,29,74,5.6,Phosphorus Rich
Indoor Plant,Rooftop,Low,Potting Mix,Low,20,61,79,7.0,Nitrogen Rich
Vegetable Plant,Balcony,High,Sandy,Medium,39,28,80,5.5,Phosphorus Rich
Indoor Plant,Outdoor Garden,Medium,Clay,Medium,27,78,67,5.5,Nitrogen Rich
Flower Plant,Outdoor Garden,Medium,Potting Mix,High,43,50,80,6.1,Bone Meal
Indoor Plant,Outdoor Garden,High,Loamy,Medium,58,38,31,6.6,Balanced NPK
Indoor Plant,Balcony,Medium,Sandy,Medium,40,74,41,5.3,Liquid Fertilizer
Succulent,Outdoor Garden,Low,Sandy,Medium,59,59,56,5.5,Compost
Vegetable Plant,Rooftop,Low,Loamy,Medium,55,34,48,5.8,Phosphorus Rich
Vegetable Plant,Indoor,Medium,Loamy,Low,37,42,47,7.0,Balanced NPK
Flower Plant,Outdoor Garden,High,Clay,Medium,56,68,20,5.4,Balanced NPK
Vegetable Plant,Balcony,High,Loamy,Medium,73,68,28,6.0,Balanced NPK
Succulent,Indoor,Medium,Potting Mix,Low,32,53,47,6.8,Nitrogen Rich
Vegetable Plant,Indoor,High,Sandy,Low,58,41,34,6.3,Balanced NPK
Vegetable Plant,Balcony,Medium,Clay,Low,25,45,66,5.7,Nitrogen Rich
Vegetable Plant,Indoor,Low,Loamy,Medium,54,24,36,6.7,Phosphorus Rich
Indoor Plant,Balcony,Medium,Potting Mix,High,26,38,34,6.1,Nitrogen Rich
Succulent,Balcony,Medium,Loamy,Medium,23,45,66,5.9,Nitrogen Rich
Succulent,Outdoor Garden,High,Clay,Medium,36,77,46,7.1,Compost
Flower Plant,Outdoor Garden,Low,Potting Mix,High,79,71,77,7.4,Bone Meal
Indoor Plant,Balcony,High,Clay,High,25,53,43,7.0,Nitrogen Rich
Leafy Ornamental,Indoor,Low,Loamy,Medium,50,79,64,5.4,Nitrogen Rich
Indoor Plant,Indoor,High,Clay,Medium,22,64,49,6.6,Nitrogen Rich
Succulent,Outdoor Garden,Low,Clay,Low,43,46,68,7.2,Compost
Indoor Plant,Balcony,Low,Loamy,High,35,48,37,7.3,Liquid Fertilizer
Succulent,Rooftop,Low,Sandy,Medium,50,61,48,6.7,Compost
Indoor Plant,Outdoor Garden,Medium,Sandy,High,79,28,31,6.8,Phosphorus Rich
Herb,Outdoor Garden,Medium,Clay,Low,59,21,69,6.3,Phosphorus Rich
Succulent,Outdoor Garden,Medium,Loamy,High,68,41,63,6.5,Compost
Indoor Plant,Outdoor Garden,Medium,Loamy,High,46,33,39,6.7,Phosphorus Rich
Flower Plant,Outdoor Garden,Medium,Sandy,High,74,40,71,7.5,Bone Meal
Vegetable Plant,Indoor,High,Clay,High,28,28,73,5.3,Nitrogen Rich
Herb,Indoor,Medium,Potting Mix,High,68,24,54,7.2,Phosphorus Rich
Leafy Ornamental,Outdoor Garden,Low,Potting Mix,Medium,33,31,73,5.2,Nitrogen Rich
Indoor Plant,Outdoor Garden,Low,Sandy,Medium,32,80,71,6.5,Nitrogen Rich
Flower Plant,Indoor,High,Loamy,Medium,27,55,29,6.0,Nitrogen Rich
Vegetable Plant,Rooftop,Low,Potting Mix,Low,49,67,78,7.3,Balanced NPK
Succulent,Outdoor Garden,Medium,Clay,Low,45,57,38,5.4,Compost
Flower Plant,Rooftop,Low,Loamy,Medium,39,63,60,6.5,Bone Meal
Indoor Plant,Indoor,Medium,Clay,High,59,46,48,5.1,Liquid Fertilizer
Herb,Rooftop,Low,Clay,High,48,32,20,5.9,Phosphorus Rich
Succulent,Rooftop,Medium,Loamy,High,78,52,67,6.9,Compost
Leafy Ornamental,Rooftop,Low,Loamy,High,63,72,67,5.2,Nitrogen Rich
Leafy Ornamental,Indoor,Medium,Potting Mix,High,75,79,20,6.0,Balanced NPK
Herb,Balcony,High,Loamy,High,27,41,76,6.6,Nitrogen Rich
Succulent,Indoor,Low,Potting Mix,High,74,36,76,6.9,Compost
Leafy Ornamental,Rooftop,High,Sandy,Medium,20,32,80,6.1,Nitrogen Rich
Indoor Plant,Indoor,Medium,Sandy,High,29,46,60,5.7,Nitrogen Rich
Herb,Indoor,Low,Sandy,High,60,54,22,6.3,Balanced NPK
Indoor Plant,Outdoor Garden,Low,Potting Mix,Low,53,30,58,7.4,Phosphorus Rich
Succulent,Rooftop,High,Clay,Medium,73,53,40,6.9,Compost
Indoor Plant,Indoor,Medium,Loamy,High,52,62,57,7.4,Liquid Fertilizer
Succulent,Rooftop,High,Potting Mix,High,37,25,24,6.0,Phosphorus Rich
Indoor Plant,Outdoor Garden,High,Sandy,High,58,76,77,6.0,Liquid Fertilizer
Indoor Plant,Rooftop,Medium,Potting Mix,Medium,28,20,55,5.1,Nitrogen Rich
Flower Plant,Indoor,Low,Sandy,Medium,23,60,68,7.0,Nitrogen Rich
Herb,Rooftop,High,Clay,Medium,37,33,40,7.0,Phosphorus Rich
Herb,Rooftop,High,Clay,Medium,53,63,72,7.2,Nitrogen Rich
Indoor Plant,Indoor,Low,Sandy,High,67,38,71,6.7,Liquid Fertilizer
Leafy Ornamental,Rooftop,Medium,Loamy,High,76,43,33,6.0,Balanced NPK
Indoor Plant,Indoor,Low,Loamy,Medium,43,35,20,5.5,Balanced NPK
Vegetable Plant,Outdoor Garden,Medium,Sandy,Low,59,44,61,6.9,Balanced NPK
Indoor Plant,Rooftop,Medium,Loamy,Medium,40,28,74,6.9,Phosphorus Rich
Leafy Ornamental,Balcony,Low,Clay,Medium,34,64,68,6.1,Nitrogen Rich
Succulent,Indoor,High,Potting Mix,Medium,69,80,37,6.7,Compost
Flower Plant,Outdoor Garden,High,Clay,High,54,29,27,5.9,Phosphorus Rich
Leafy Ornamental,Outdoor Garden,Medium,Loamy,High,43,37,80,6.8,Nitrogen Rich
Herb,Rooftop,Low,Loamy,Low,47,22,44,6.0,Phosphorus Rich
Herb,Outdoor Garden,Medium,Sandy,Low,43,57,39,6.4,Nitrogen Rich
Herb,Rooftop,Low,Sandy,Medium,31,58,53,6.0,Nitrogen Rich
Flower Plant,Outdoor Garden,High,Loamy,Low,44,46,45,5.2,Bone Meal
Herb,Outdoor Garden,Low,Loamy,Medium,44,59,57,7.3,Nitrogen Rich
Succulent,Rooftop,High,Loamy,Low,40,68,55,6.8,Compost
Herb,Outdoor Garden,High,Potting Mix,Medium,59,31,43,7.3,Phosphorus Rich
Herb,Indoor,Medium,Sandy,Low,36,53,31,5.1,Balanced NPK
Vegetable Plant,Rooftop,Low,Clay,Low,58,53,67,5.5,Balanced NPK
Succulent,Indoor,Low,Loamy,Medium,20,21,20,7.2,Nitrogen Rich
Vegetable Plant,Balcony,Low,Potting Mix,Medium,29,73,59,6.8,Nitrogen Rich
Indoor Plant,Balcony,High,Loamy,Low,75,38,66,7.3,Liquid Fertilizer
Indoor Plant,Rooftop,Medium,Sandy,Low,33,53,71,6.4,Nitrogen Rich
Vegetable Plant,Rooftop,High,Potting Mix,Low,22,57,59,6.4,Nitrogen Rich
Leafy Ornamental,Balcony,High,Potting Mix,Medium,30,67,70,6.7,Nitrogen Rich
Leafy Ornamental,Rooftop,Medium,Sandy,Medium,59,65,61,5.4,Nitrogen Rich
Succulent,Rooftop,Low,Clay,Low,21,56,79,6.2,Nitrogen Rich
Herb,Outdoor Garden,High,Sandy,High,80,36,55,7.3,Nitrogen Rich
Herb,Rooftop,High,Sandy,High,74,43,45,6.3,Nitrogen Rich
Indoor Plant,Indoor,Medium,Clay,Low,60,79,20,6.1,Balanced NPK
Herb,Outdoor Garden,Low,Potting Mix,High,41,50,29,6.9,Balanced NPK
Leafy Ornamental,Balcony,Low,Clay,Low,70,80,39,6.2,Nitrogen Rich
Indoor Plant,Rooftop,Medium,Loamy,Low,62,32,50,6.7,Phosphorus Rich
Vegetable Plant,Outdoor Garden,Low,Sandy,Low,51,51,51,5.5,Balanced NPK
Flower Plant,Indoor,Medium,Clay,Low,34,46,25,6.9,Nitrogen Rich
Leafy Ornamental,Rooftop,Low,Loamy,High,41,73,59,6.9,Nitrogen Rich
Succulent,Indoor,High,Loamy,High,50,32,33,6.1,Phosphorus Rich
Flower Plant,Balcony,High,Loamy,Medium,74,39,37,7.1,Bone Meal
Vegetable Plant,Indoor,Medium,Potting Mix,Medium,21,48,67,7.4,Nitrogen Rich
Herb,Rooftop,Low,Clay,Low,79,76,20,6.7,Balanced NPK
Herb,Outdoor Garden,Medium,Sandy,High,24,70,50,6.6,Nitrogen Rich
Leafy Ornamental,Balcony,Low,Potting Mix,High,35,62,30,7.2,Balanced NPK
Succulent,Balcony,Low,Clay,Medium,44,32,36,5.1,Phosphorus Rich
Indoor Plant,Balcony,High,Sandy,Medium,42,54,67,5.2,Liquid Fertilizer
Leafy Ornamental,Indoor,Medium,Potting Mix,Medium,37,65,71,6.5,Nitrogen Rich
Leafy Ornamental,Balcony,Low,Sandy,Medium,23,61,51,7.1,Nitrogen Rich
Indoor Plant,Indoor,Medium,Sandy,High,35,77,73,7.0,Liquid Fertilizer
Leafy Ornamental,Balcony,Medium,Clay,Low,54,37,21,7.5,Balanced NPK
Flower Plant,Rooftop,Low,Sandy,High,21,63,33,6.5,Nitrogen Rich
Herb,Rooftop,High,Sandy,Low,52,43,78,7.1,Nitrogen Rich
Succulent,Outdoor Garden,High,Clay,High,64,67,21,6.7,Balanced NPK
Succulent,Indoor,Low,Potting Mix,Medium,30,58,64,5.8,Nitrogen Rich
Herb,Balcony,High,Potting Mix,High,58,33,75,5.5,Phosphorus Rich
Flower Plant,Balcony,High,Potting Mix,Low,32,23,79,5.5,Nitrogen Rich
Herb,Balcony,Medium,Sandy,High,78,52,77,5.1,Nitrogen Rich
Herb,Outdoor Garden,Low,Potting Mix,Low,58,30,22,7.4,Phosphorus Rich
Leafy Ornamental,Indoor,High,Sandy,High,73,66,72,6.7,Nitrogen Rich
Vegetable Plant,Rooftop,Low,Sandy,Low,63,74,78,5.4,Vermicompost
Herb,Outdoor Garden,Low,Sandy,Medium,54,37,55,5.8,Nitrogen Rich
Indoor Plant,Balcony,Low,Potting Mix,Low,31,62,27,5.3,Nitrogen Rich
Leafy Ornamental,Outdoor Garden,Low,Clay,Medium,71,63,63,7.5,Nitrogen Rich
Flower Plant,Indoor,Medium,Loamy,High,77,50,63,5.0,Bone Meal
Herb,Balcony,Medium,Clay,Medium,50,66,64,7.4,Nitrogen Rich
Indoor Plant,Rooftop,High,Loamy,Low,48,68,24,5.7,Balanced NPK
Leafy Ornamental,Indoor,High,Clay,High,35,56,37,6.1,Nitrogen Rich
Herb,Outdoor Garden,Medium,Loamy,Medium,31,35,40,6.8,Nitrogen Rich
Succulent,Outdoor Garden,Low,Clay,Low,20,28,67,6.0,Nitrogen Rich
Leafy Ornamental,Balcony,Low,Loamy,Medium,51,72,55,7.3,Nitrogen Rich
Indoor Plant,Rooftop,Medium,Potting Mix,Low,41,79,72,5.1,Liquid Fertilizer
Flower Plant,Indoor,Medium,Potting Mix,Low,47,73,20,5.9,Balanced NPK
Flower Plant,Indoor,High,Potting Mix,Medium,73,20,59,6.4,Phosphorus Rich
Indoor Plant,Indoor,Low,Sandy,High,27,30,23,7.0,Nitrogen Rich
Flower Plant,Indoor,Low,Clay,Low,21,58,36,5.8,Nitrogen Rich
Leafy Ornamental,Rooftop,Medium,Clay,High,49,64,58,5.9,Nitrogen Rich
Indoor Plant,Rooftop,Medium,Sandy,Low,59,65,54,6.1,Liquid Fertilizer
Flower Plant,Outdoor Garden,Medium,Potting Mix,Medium,62,40,36,7.0,Bone Meal
Leafy Ornamental,Rooftop,Low,Clay,Medium,67,55,58,5.7,Nitrogen Rich
Vegetable Plant,Balcony,Low,Sandy,Low,55,21,60,6.4,Phosphorus Rich
Leafy Ornamental,Outdoor Garden,Medium,Clay,High,33,38,76,7.1,Nitrogen Rich
Vegetable Plant,Balcony,Medium,Potting Mix,Low,75,30,58,7.0,Phosphorus Rich
Vegetable Plant,Rooftop,Low,Potting Mix,High,51,23,40,6.7,Phosphorus Rich
Herb,Indoor,Low,Potting Mix,Low,71,46,73,5.3,Nitrogen Rich
Succulent,Outdoor Garden,Low,Potting Mix,Low,38,48,75,6.6,Compost
Herb,Outdoor Garden,Low,Loamy,Low,42,71,24,5.9,Balanced NPK
Vegetable Plant,Indoor,Low,Clay,Low,63,20,24,6.1,Phosphorus Rich
Leafy Ornamental,Indoor,Medium,Potting Mix,Low,40,47,23,5.9,Balanced NPK
Herb,Indoor,Medium,Loamy,Low,36,39,24,5.5,Balanced NPK
Succulent,Balcony,Medium,Potting Mix,High,36,23,65,5.9,Phosphorus Rich
Vegetable Plant,Balcony,Low,Sandy,High,71,40,64,7.3,Balanced NPK
Herb,Indoor,Medium,Potting Mix,Low,56,79,67,5.2,Nitrogen Rich
Leafy Ornamental,Outdoor Garden,Medium,Clay,High,45,57,33,6.1,Balanced NPK
Herb,Indoor,High,Loamy,Low,76,40,65,6.5,Nitrogen Rich
Vegetable Plant,Outdoor Garden,Medium,Sandy,Medium,63,49,23,6.9,Balanced NPK
Flower Plant,Outdoor Garden,Medium,Sandy,High,36,35,74,5.0,Bone Meal
Leafy Ornamental,Indoor,High,Loamy,Low,21,58,43,6.1,Nitrogen Rich
Flower Plant,Rooftop,Low,Loamy,High,65,58,64,6.2,Bone Meal
Leafy Ornamental,Rooftop,Low,Potting Mix,Medium,36,22,31,7.2,Phosphorus Rich
Flower Plant,Balcony,Low,Loamy,Medium,79,71,77,7.4,Bone Meal
Herb,Rooftop,Medium,Loamy,Medium,50,78,35,6.6,Nitrogen Rich
Leafy Ornamental,Rooftop,Low,Clay,High,29,22,28,5.6,Nitrogen Rich
Flower Plant,Indoor,High,Sandy,Medium,64,20,24,6.1,Phosphorus Rich
Flower Plant,Rooftop,Low,Clay,Medium,28,33,39,6.2,Nitrogen Rich
Indoor Plant,Rooftop,High,Sandy,High,50,41,72,5.8,Liquid Fertilizer
Indoor Plant,Balcony,Medium,Clay,Low,77,44,23,7.3,Balanced NPK
Herb,Balcony,Medium,Sandy,Low,55,34,27,5.1,Phosphorus Rich
Leafy Ornamental,Outdoor Garden,Medium,Loamy,Low,63,29,31,6.9,Phosphorus Rich
Herb,Rooftop,Low,Potting Mix,Medium,49,49,33,5.5,Balanced NPK
Indoor Plant,Outdoor Garden,High,Sandy,Medium,45,79,39,6.8,Liquid Fertilizer
Indoor Plant,Outdoor Garden,Low,Loamy,High,43,23,35,5.9,Phosphorus Rich
Indoor Plant,Balcony,High,Clay,Low,59,52,70,5.8,Liquid Fertilizer
Leafy Ornamental,Balcony,Low,Sandy,High,50,70,65,5.7,Nitrogen Rich
Indoor Plant,Rooftop,Medium,Clay,Low,63,61,75,6.1,Liquid Fertilizer
Vegetable Plant,Rooftop,Medium,Potting Mix,Medium,28,43,56,7.3,Nitrogen Rich
Herb,Rooftop,Low,Sandy,Low,65,45,32,7.0,Balanced NPK
Leafy Ornamental,Balcony,High,Potting Mix,Medium,80,46,66,5.2,Nitrogen Rich
Succulent,Outdoor Garden,Medium,Clay,High,51,61,57,5.5,Compost
Succulent,Rooftop,High,Potting Mix,High,56,73,54,6.8,Compost
Succulent,Indoor,Medium,Potting Mix,Low,57,67,59,7.2,Compost
Vegetable Plant,Indoor,Medium,Loamy,Low,72,46,69,7.2,Balanced NPK
Vegetable Plant,Rooftop,Low,Loamy,High,34,57,36,7.2,Nitrogen Rich
Indoor Plant,Rooftop,Low,Loamy,High,55,57,65,7.3,Liquid Fertilizer
Succulent,Indoor,High,Sandy,Medium,59,38,55,7.3,Compost
Flower Plant,Balcony,Low,Sandy,High,24,31,63,6.1,Nitrogen Rich
Leafy Ornamental,Rooftop,Low,Loamy,High,53,65,78,5.8,Nitrogen Rich
Herb,Balcony,Low,Loamy,Medium,45,65,49,6.9,Nitrogen Rich
Leafy Ornamental,Outdoor Garden,Low,Loamy,Low,33,48,53,6.6,Nitrogen Rich
Leafy Ornamental,Outdoor Garden,Low,Clay,High,54,74,38,5.2,Nitrogen Rich
Succulent,Indoor,Medium,Sandy,High,32,64,66,5.6,Nitrogen Rich
Leafy Ornamental,Balcony,Medium,Clay,Medium,67,56,58,6.3,Nitrogen Rich
Vegetable Plant,Outdoor Garden,Low,Clay,High,47,63,48,6.6,Balanced NPK
